Flow ID,Source IP,Source Port,Destination IP,Destination Port,Protocol,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
172.16.0.1-192.168.10.50-63314-80-6,172.16.0.1,63314,192.168.10.50,80,6,7/7/2017 4:13,478747,3,6,26,11607,20,0,8.666666667,10.26320288,5840,0,1934.5,2538.919278,24298.84678,18.79907341,59843.375,168924.5146,477910,3,663,331.5,464.5691552,660,3,478619,95723.8,213648.7257,477910,3,0,0,0,0,72,132,6.266357805,12.53271561,0,5840,1163.3,2138.329153,4572451.567,0,0,0,1,0,0,0,0,2,1292.555556,8.666666667,1934.5,72,0,0,0,0,0,0,3,26,6,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
172.16.0.1-192.168.10.50-37287-80-6,172.16.0.1,37287,192.168.10.50,80,6,7/7/2017 4:12,3956964,5,0,30,0,6,6,6.0,0.0,0,0,0.0,0.0,7.581570113,1.263595019,989241.0,1977121.391,3954923,4,3956964,989241.0,1977121.391,3954923,4,0,0.0,0.0,0,0,0,0,0,0,100,0,1.263595019,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.2,6.0,0.0,100,0,0,0,0,0,0,5,30,0,0,256,-1,4,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
192.168.10.3-192.168.10.12-53-47098-17,192.168.10.12,47098,192.168.10.3,53,17,7/7/2017 4:13,250,2,2,64,258,32,32,32.0,0.0,129,129,129.0,0.0,1288000.0,16000.0,83.33333333,105.3106516,202,1,1,1.0,0.0,1,1,47,47.0,0.0,47,47,0,0,0,0,40,40,8000.0,8000.0,32,129,70.8,53.12908808,2822.7,0,0,0,0,0,0,0,0,1,88.5,32.0,129.0,40,0,0,0,0,0,0,2,64,2,258,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
172.16.0.1-192.168.10.50-63789-80-6,172.16.0.1,63789,192.168.10.50,80,6,7/7/2017 4:03,1674123,3,5,26,11607,20,0,8.666666667,10.26320288,7300,0,2321.4,3346.363967,6948.712848,4.778621404,239160.4286,631931.9799,1672247,3,1472,736.0,1036.618541,1469,3,1674083,418520.75,835817.7286,1672247,160,0,0,0,0,72,112,1.791983026,2.986638377,0,7300,1292.555556,2662.264877,7087654.278,0,0,0,1,0,0,0,0,1,1454.125,8.666666667,2321.4,72,0,0,0,0,0,0,3,26,5,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
192.168.10.3-192.168.10.15-53-59712-17,192.168.10.15,59712,192.168.10.3,53,17,7/7/2017 4:21,215,2,2,112,368,56,56,56.0,0.0,184,184,184.0,0.0,2232558.14,18604.65116,71.66666667,83.06824504,164,3,3,3.0,0.0,3,3,48,48.0,0.0,48,48,0,0,0,0,64,64,9302.325581,9302.325581,56,184,107.2,70.10848736,4915.2,0,0,0,0,0,0,0,0,1,134.0,56.0,184.0,64,0,0,0,0,0,0,2,112,2,368,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
192.168.10.3-192.168.10.9-53-52398-17,192.168.10.9,52398,192.168.10.3,53,17,7/7/2017 4:36,60935,2,2,62,186,31,31,31.0,0.0,93,93,93.0,0.0,4069.91056,65.64371872,20311.66667,35137.54427,60885,3,47,47.0,0.0,47,47,3,3.0,0.0,3,3,0,0,0,0,40,40,32.82185936,32.82185936,31,93,55.8,33.95879857,1153.2,0,0,0,0,0,0,0,0,1,69.75,31.0,93.0,40,0,0,0,0,0,0,2,62,2,186,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
192.168.10.9-64.210.147.100-9465-443-6,64.210.147.100,443,192.168.10.9,9465,6,7/7/2017 3:53,209,2,1,37,6,31,6,18.5,17.67766953,6,6,6.0,0.0,205741.6268,14354.06699,104.5,102.5304833,177,32,209,209.0,0.0,209,209,0,0.0,0.0,0,0,1,0,0,0,40,20,9569.37799,4784.688995,6,31,18.5,14.43375673,208.3333333,0,1,0,0,1,0,0,0,0,24.66666667,18.5,6.0,40,0,0,0,0,0,0,2,37,1,6,32,0,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
172.16.0.1-192.168.10.50-57086-80-6,172.16.0.1,57086,192.168.10.50,80,6,7/7/2017 4:01,9786786,4,0,24,0,6,6,6.0,0.0,0,0,0.0,0.0,2.452286174,0.408714362,3262262.0,5649534.93,9785783,1,9786786,3262262.0,5649534.93,9785783,1,0,0.0,0.0,0,0,0,0,0,0,80,0,0.408714362,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.5,6.0,0.0,80,0,0,0,0,0,0,4,24,0,0,256,-1,3,20,1003.0,0.0,1003,1003,9785783.0,0.0,9785783,9785783,DDoS
172.217.12.131-192.168.10.15-443-58526-6,192.168.10.15,58526,172.217.12.131,443,6,7/7/2017 3:51,117548739,15,16,1076,5122,418,0,71.73333333,112.3975512,1430,0,320.125,534.3088838,52.72706498,0.263720396,3918291.3,14900000.0,58900000,0,118000000,8396338.5,21300000.0,58900000,27,117000000,7830751.733,20600000.0,59000000,0,0,0,0,0,312,332,0.127606643,0.136113753,0,1430,193.6875,400.6263191,160501.4476,0,0,0,1,0,0,0,0,1,199.9354839,71.73333333,320.125,312,0,0,0,0,0,0,15,1076,16,5122,8192,360,14,20,158439.0,101888.4303,230485,86393,58600000.0,505489.4247,58900000,58200000,BENIGN
192.168.10.5-23.206.175.81-56422-80-6,23.206.175.81,80,192.168.10.5,56422,6,7/7/2017 4:25,18,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,666666.6667,111111.1111,18.0,0.0,18,18,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,55555.55556,55555.55556,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,6,1353,256,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
172.16.0.1-192.168.10.50-49991-80-6,172.16.0.1,49991,192.168.10.50,80,6,7/7/2017 3:56,1580987,4,0,24,0,6,6,6.0,0.0,0,0,0.0,0.0,15.18039048,2.53006508,526995.6667,912781.538,1580985,1,1580987,526995.6667,912781.538,1580985,1,0,0.0,0.0,0,0,0,0,0,0,80,0,2.53006508,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.5,6.0,0.0,80,0,0,0,0,0,0,4,24,0,0,256,-1,3,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
192.168.10.3-192.168.10.9-53-54996-17,192.168.10.9,54996,192.168.10.3,53,17,7/7/2017 4:16,47589,2,2,70,692,35,35,35.0,0.0,346,346,346.0,0.0,16012.10364,84.05303747,15863.0,27469.45979,47582,3,4,4.0,0.0,4,4,3,3.0,0.0,3,3,0,0,0,0,64,40,42.02651873,42.02651873,35,346,159.4,170.3417154,29016.3,0,0,0,0,0,0,0,0,1,199.25,35.0,346.0,64,0,0,0,0,0,0,2,70,2,692,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
172.16.0.1-192.168.10.50-51335-80-6,172.16.0.1,51335,192.168.10.50,80,6,7/7/2017 3:57,3531396,4,0,24,0,6,6,6.0,0.0,0,0,0.0,0.0,6.796179188,1.132696531,1177132.0,2038230.627,3530678,274,3531396,1177132.0,2038230.627,3530678,274,0,0.0,0.0,0,0,0,0,0,0,80,0,1.132696531,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.5,6.0,0.0,80,0,0,0,0,0,0,4,24,0,0,256,-1,3,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
192.168.10.9-4.27.248.254-10102-80-6,192.168.10.9,10102,4.27.248.254,80,6,7/7/2017 4:31,9749908,67,104,3293,160124,396,0,49.14925373,118.7902728,4380,0,1539.653846,1040.250901,16760.8761,17.53862703,57352.4,642749.5791,8361733,2,1388007,21030.40909,82517.34112,576673,84,9727439,94441.15534,825440.3179,8361733,2,0,0,0,0,1364,2092,6.871859714,10.66676732,0,4380,950.0988372,1091.768706,1191958.908,0,0,0,1,0,0,0,0,1,955.6549708,49.14925373,1539.653846,1364,0,0,0,0,0,0,67,3293,104,160124,8192,186,65,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
172.16.0.1-192.168.10.50-51873-80-6,172.16.0.1,51873,192.168.10.50,80,6,7/7/2017 3:56,71868192,8,6,56,11607,20,0,7.0,5.656854249,5840,0,1934.5,2538.919278,162.2831976,0.19480106,5528322.462,18400000.0,66600000,3,70500000,10100000.0,25000000.0,66600000,49,1356073,271214.6,606001.5492,1355263,3,0,0,0,0,172,132,0.111314892,0.083486169,0,5840,777.9333333,1804.898987,3257660.352,0,0,0,0,1,0,0,0,0,833.5,7.0,1934.5,172,0,0,0,0,0,0,8,56,6,11607,256,229,6,20,3950808.0,0.0,3950808,3950808,66600000.0,0.0,66600000,66600000,DDoS
192.168.10.12-61.251.165.12-39126-80-6,192.168.10.12,39126,61.251.165.12,80,6,7/7/2017 4:15,430285,3,4,672,421,672,0,224.0,387.9793809,421,0,105.25,210.5,2540.17686,16.2682873,71714.16667,110532.3116,214414,3,214611,107305.5,151602.9868,214505,106,215871,71957.0,123535.8078,214602,3,0,0,0,0,104,136,6.972123128,9.29616417,0,672,136.625,261.723375,68499.125,0,0,0,1,0,0,0,0,1,156.1428571,224.0,105.25,104,0,0,0,0,0,0,3,672,4,421,29200,5052,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
172.16.0.1-192.168.10.50-61388-80-6,192.168.10.50,80,172.16.0.1,61388,6,7/7/2017 4:12,164003,5,2,11607,26,11595,0,2321.4,5184.100867,20,6,13.0,9.899494937,70931.6293,42.68214606,27333.83333,66552.44427,163183,49,164003,41000.75,81455.14903,163183,49,49,49.0,0.0,49,49,0,0,0,0,124,40,30.48724718,12.19489887,0,11595,1454.125,4097.537534,16800000.0,0,0,0,1,0,0,0,0,0,1661.857143,2321.4,13.0,124,0,0,0,0,0,0,5,11607,2,26,8192,256,3,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
172.16.0.1-192.168.10.50-32010-80-6,192.168.10.50,80,172.16.0.1,32010,6,7/7/2017 4:09,10069560,1,6,1375,30,1375,1375,1375.0,0.0,6,0,5.0,2.449489743,139.5294333,0.695164436,1678260.0,4095479.5,10000000,3,0,0.0,0.0,0,0,10100000,2010750.8,4487434.058,10000000,3,1,0,0,0,20,132,0.099309205,0.595855231,0,1375,347.5,634.1901472,402197.1429,0,1,0,0,1,1,0,0,6,397.1428571,1375.0,5.0,20,0,0,0,0,0,0,1,1375,6,30,229,0,0,20,31446.0,0.0,31446,31446,10000000.0,0.0,10000000,10000000,BENIGN
172.16.0.1-192.168.10.50-58580-80-6,172.16.0.1,58580,192.168.10.50,80,6,7/7/2017 4:10,1425501,3,4,26,11607,20,0,8.666666667,10.26320288,11595,0,2901.75,5795.50069,8160.639663,4.910554254,237583.5,581644.8499,1424861,4,583,291.5,385.3731957,564,19,1425486,475162.0,822463.5178,1424861,4,0,0,0,0,72,92,2.104523252,2.806031002,0,11595,1454.125,4097.537534,16800000.0,0,0,0,1,0,0,0,0,1,1661.857143,8.666666667,2901.75,72,0,0,0,0,0,0,3,26,4,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
172.16.0.1-192.168.10.50-61405-80-6,172.16.0.1,61405,192.168.10.50,80,6,7/7/2017 4:03,4077865,5,0,30,0,6,6,6.0,0.0,0,0,0.0,0.0,7.35679087,1.226131812,1019466.25,2038269.22,4076870,1,4077865,1019466.25,2038269.22,4076870,1,0,0.0,0.0,0,0,0,0,0,0,100,0,1.226131812,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.2,6.0,0.0,100,0,0,0,0,0,0,5,30,0,0,256,-1,4,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
184.169.142.67-192.168.10.14-443-58947-6,184.169.142.67,443,192.168.10.14,58947,6,7/7/2017 4:59,24,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,500000.0,83333.33333,24.0,0.0,24,24,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,41666.66667,41666.66667,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,6,31656,64209,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
172.16.0.1-192.168.10.50-57956-80-6,172.16.0.1,57956,192.168.10.50,80,6,7/7/2017 4:10,40775,3,5,26,11601,20,0,8.666666667,10.26320288,5755,0,2320.2,2411.235202,285150.2146,196.1986511,5825.0,15032.18699,39914,3,40004,20002.0,28282.85703,40001,3,40688,10172.0,19965.58815,40120,64,0,0,0,0,72,112,73.57449418,122.624157,0,5755,1291.888889,2096.202068,4394063.111,0,0,0,1,0,0,0,0,1,1453.375,8.666666667,2320.2,72,0,0,0,0,0,0,3,26,5,11601,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
172.16.0.1-192.168.10.50-34771-80-6,172.16.0.1,34771,192.168.10.50,80,6,7/7/2017 4:11,276184,3,5,26,11607,20,0,8.666666667,10.26320288,10135,0,2321.4,4413.201989,42120.47041,28.96619645,39454.85714,103942.1891,275173,5,763,381.5,471.6402231,715,48,276138,69034.5,137426.0461,275173,5,0,0,0,0,72,112,10.86232367,18.10387278,0,10135,1292.555556,3350.634907,11200000.0,0,0,0,1,0,0,0,0,1,1454.125,8.666666667,2321.4,72,0,0,0,0,0,0,3,26,5,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
172.16.0.1-192.168.10.50-22002-80-6,172.16.0.1,22002,192.168.10.50,80,6,7/7/2017 4:01,1491995,3,5,26,11607,20,0,8.666666667,10.26320288,7215,0,2321.4,3327.769794,7796.943019,5.361948264,213142.1429,563360.2733,1490723,3,1017,508.5,512.6524164,871,146,1491947,372986.75,745157.6503,1490723,3,0,0,0,0,72,112,2.010730599,3.351217665,0,7215,1292.555556,2650.585648,7025604.278,0,0,0,1,0,0,0,0,1,1454.125,8.666666667,2321.4,72,0,0,0,0,0,0,3,26,5,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
172.16.0.1-192.168.10.50-59465-80-6,172.16.0.1,59465,192.168.10.50,80,6,7/7/2017 4:11,57520,3,5,26,11607,20,0,8.666666667,10.26320288,10135,0,2321.4,4413.201989,202242.6982,139.0820584,8217.142857,21367.34791,56672,5,595,297.5,335.8757211,535,60,57506,14376.5,28198.23553,56672,5,0,0,0,0,72,112,52.15577191,86.92628651,0,10135,1292.555556,3350.634907,11200000.0,0,0,0,1,0,0,0,0,1,1454.125,8.666666667,2321.4,72,0,0,0,0,0,0,3,26,5,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
192.168.10.5-37.202.2.165-55274-443-6,37.202.2.165,443,192.168.10.5,55274,6,7/7/2017 3:33,999901,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,12.00118812,2.00019802,999901.0,0.0,999901,999901,999901,999901.0,0.0,999901,999901,0,0.0,0.0,0,0,0,0,0,0,40,0,2.00019802,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,9.0,6.0,0.0,40,0,0,0,0,0,0,2,12,0,0,5113,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
172.16.0.1-192.168.10.50-56049-80-6,172.16.0.1,56049,192.168.10.50,80,6,7/7/2017 4:09,1853153,3,5,26,11607,20,0,8.666666667,10.26320288,10135,0,2321.4,4413.201989,6277.409367,4.316966813,264736.1429,700017.6958,1852227,6,683,341.5,382.5447686,612,71,1853105,463276.25,925967.2103,1852227,6,0,0,0,0,72,112,1.618862555,2.698104258,0,10135,1292.555556,3350.634907,11200000.0,0,0,0,1,0,0,0,0,1,1454.125,8.666666667,2321.4,72,0,0,0,0,0,0,3,26,5,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
